year,Tm,Attendance,Attend/G,organization
2014,Detroit Lions,1062760,66423,nfl
2014,Green Bay Packers,1148560,71785,nfl
2014,Houston Texans,1115983,69749,nfl
2014,Indianapolis Colts,1101258,68829,nfl
2014,Jacksonville Jaguars,1066627,66664,nfl
2014,Kansas City Chiefs,1127251,70453,nfl
2014,Miami Dolphins,1128798,70550,nfl
2014,Minnesota Vikings,940423,58776,nfl
2014,New England Patriots,1111983,69499,nfl
2014,New Orleans Saints,1133987,70874,nfl
2014,New York Giants,1195369,74711,nfl
2014,New York Jets,1157234,72327,nfl
2014,Oakland Raiders,1013469,63342,nfl
2014,Philadelphia Eagles,1153703,72106,nfl
2014,Pittsburgh Steelers,1060542,66284,nfl
2014,San Diego Chargers,1069529,66846,nfl
2014,San Francisco 49ers,1130143,70634,nfl
2014,Seattle Seahawks,1107297,69206,nfl
2014,St. Louis Rams,999412,62463,nfl
2014,Tampa Bay Buccaneers,1023818,63989,nfl
2014,Tennessee Titans,1096866,68554,nfl
2014,Washington Redskins,1179306,73707,nfl
2013,Arizona Cardinals,997710,62357,nfl
2013,Atlanta Falcons,1080805,67550,nfl
2013,Baltimore Ravens,1106022,69126,nfl
2013,Buffalo Bills,1032476,64530,nfl
2013,Carolina Panthers,1112229,69514,nfl
2013,Chicago Bears,1057075,66067,nfl
2013,Cincinnati Bengals,1001806,62613,nfl
2013,Cleveland Browns,1122750,70172,nfl
2013,Dallas Cowboys,1279578,79974,nfl
2013,Denver Broncos,1194145,74634,nfl
2013,Detroit Lions,1053841,65865,nfl
2013,Green Bay Packers,1191205,74450,nfl
2013,Houston Texans,1103683,68980,nfl
2013,Indianapolis Colts,1054693,65918,nfl
2013,Jacksonville Jaguars,1028219,64264,nfl
2013,Kansas City Chiefs,1118007,69875,nfl
2013,Miami Dolphins,1041545,65097,nfl
2013,Minnesota Vikings,1099551,68722,nfl
2013,New England Patriots,1120817,70051,nfl
2013,New Orleans Saints,1123230,70202,nfl
2013,New York Giants,1209532,75596,nfl
2013,New York Jets,1169108,73069,nfl
2013,Oakland Raiders,1004636,62790,nfl
2013,Philadelphia Eagles,1141155,71322,nfl
2013,Pittsburgh Steelers,1025772,64111,nfl
2013,San Diego Chargers,1052439,65777,nfl
2013,San Francisco 49ers,1116046,69753,nfl
2013,Seattle Seahawks,1094133,68383,nfl
2013,St. Louis Rams,1014994,63437,nfl
2013,Tampa Bay Buccaneers,1016122,63508,nfl
2013,Tennessee Titans,1057807,66113,nfl
2013,Washington Redskins,1200007,75000,nfl
2012,Arizona Cardinals,1028241,64265,nfl
2012,Atlanta Falcons,1102398,68900,nfl
2012,Baltimore Ravens,1109404,69338,nfl
2012,Buffalo Bills,1033263,64579,nfl
2012,Carolina Panthers,1108455,69278,nfl
2012,Chicago Bears,1056462,66029,nfl
