year,Tm,Attendance,Attend/G,organization
2011,TBR,1529188,18879,mlb
2011,TEX,2946949,36382,mlb
2011,TOR,1818103,22446,mlb
2011,WSN,1940478,24256,mlb
2010,ARI,2056697,25391,mlb
2010,ATL,2510119,30989,mlb
2010,BAL,1733019,21395,mlb
2010,BOS,3046445,37610,mlb
2010,CHC,3062973,37814,mlb
2010,CHW,2194378,27091,mlb
2010,CIN,2060550,25439,mlb
2010,CLE,1391644,17181,mlb
2010,COL,2875245,35497,mlb
2010,DET,2461237,30386,mlb
2010,FLA,1524894,18826,mlb
2010,HOU,2331490,28784,mlb
2010,KCR,1615327,19942,mlb
2010,LAA,3250814,40134,mlb
2010,LAD,3562320,43979,mlb
2010,MIL,2776531,34278,mlb
2010,MIN,3223640,39798,mlb
2010,NYM,2559738,31602,mlb
2010,NYY,3765807,46491,mlb
2010,OAK,1418391,17511,mlb
2010,PHI,3777322,44968,mlb
2010,PIT,1613399,19919,mlb
2010,SDP,2131774,26318,mlb
2010,SEA,2085630,25749,mlb
2010,SFG,3037443,37499,mlb
2010,STL,3301218,40756,mlb
2010,TBR,1864999,23025,mlb
2010,TEX,2505171,30928,mlb
2010,TOR,1495482,19173,mlb
2010,WSN,1828066,22569,mlb
2009,ARI,2128765,26281,mlb
2009,ATL,2373631,29304,mlb
2009,BAL,1907163,23545,mlb
2009,BOS,3062699,37811,mlb
2009,CHC,3168859,39611,mlb
2009,CHW,2284163,28200,mlb
2009,CIN,1747919,21579,mlb
2009,CLE,1766242,21805,mlb
2009,COL,2665080,32902,mlb
2009,DET,2567165,31693,mlb
2009,FLA,1464109,18075,mlb
2009,HOU,2521076,31124,mlb
2009,KCR,1797891,22196,mlb
2009,LAA,3240386,40005,mlb
2009,LAD,3761655,46440,mlb
2009,MIL,3037451,37499,mlb
2009,MIN,2416237,29466,mlb
2009,NYM,3168571,39118,mlb
2009,NYY,3719358,45918,mlb
2009,OAK,1408783,17392,mlb
2009,PHI,3600693,44453,mlb
2009,PIT,1577853,19480,mlb
2009,SDP,1919603,23699,mlb
2009,SEA,2195533,27105,mlb
2009,SFG,2862110,35335,mlb
2009,STL,3343252,41275,mlb
2009,TBR,1874962,23148,mlb
