year,team,attendance,attendance/G
2005,Portland Trail Blazers,617019,15049
2004,San Antonio Spurs,750970,18316
2004,Phoenix Suns,726066,17709
2004,Dallas Mavericks,822533,20062
2004,Miami Heat,815143,19882
2004,Houston Rockets,663444,16182
2004,Detroit Pistons,905116,22076
2004,Memphis Grizzlies,691362,16862
2004,Seattle SuperSonics,675490,16475
2004,Sacramento Kings,709997,17317
2004,Denver Nuggets,723949,17657
2004,Minnesota Timberwolves,704438,17181
2004,Chicago Bulls,828384,20204
2004,Indiana Pacers,696764,16994
2004,Boston Celtics,656081,16002
2004,Cleveland Cavaliers,784249,19128
2004,Los Angeles Clippers,696181,16980
2004,Washington Wizards,705069,17197
2004,Philadelphia 76ers,732686,17870
2004,Golden State Warriors,670368,16350
2004,Toronto Raptors,703388,17156
2004,New Jersey Nets,618681,15090
2004,Los Angeles Lakers,770494,18793
2004,Orlando Magic,597942,14584
2004,New York Knicks,800144,19516
2004,Milwaukee Bucks,637009,15537
2004,Portland Trail Blazers,680374,16594
2004,Utah Jazz,769014,18756
2004,Charlotte Bobcats,591701,14432
2004,New Orleans Hornets,583070,14221
2004,Atlanta Hawks,586390,14302
2003,San Antonio Spurs,739706,18042
2003,Minnesota Timberwolves,723071,17636
2003,Sacramento Kings,709997,17317
2003,Detroit Pistons,872902,21290
2003,Indiana Pacers,678326,16545
2003,Dallas Mavericks,825594,20136
2003,Los Angeles Lakers,777757,18970
2003,Memphis Grizzlies,622723,15188
2003,Houston Rockets,640794,15629
2003,New Jersey Nets,613051,14952
2003,Denver Nuggets,721476,17597
2003,Milwaukee Bucks,690180,16834
2003,Seattle SuperSonics,625474,15154
2003,Golden State Warriors,665648,16235
2003,Miami Heat,624809,15239
2003,Utah Jazz,785330,19154
2003,Portland Trail Blazers,684038,16684
2003,New Orleans Hornets,587613,14332
2003,New York Knicks,785739,19164
2003,Boston Celtics,664248,16201
2003,Phoenix Suns,670385,16351
2003,Philadelphia 76ers,788128,19223
2003,Cleveland Cavaliers,749790,18288
2003,Toronto Raptors,750608,18308
2003,Los Angeles Clippers,665396,16143
2003,Atlanta Hawks,565728,13798
2003,Washington Wizards,645363,15741
2003,Chicago Bulls,809177,19736
2003,Orlando Magic,589144,14369
2002,Dallas Mavericks,816429,19913
2002,Sacramento Kings,709997,17317
2002,San Antonio Spurs,735970,17950
2002,New Jersey Nets,622574,15185
2002,Detroit Pistons,839278,20470
2002,Portland Trail Blazers,796258,19421
2002,Indiana Pacers,670461,16353
2002,Utah Jazz,786034,19172
2002,Los Angeles Lakers,777888,18973
2002,Minnesota Timberwolves,643684,15700
2002,Houston Rockets,565166,13785
2002,Philadelphia 76ers,807097,19685
2002,Phoenix Suns,666559,16258
2002,New Orleans Hornets,641683,15651
2002,Seattle SuperSonics,637194,15541
2002,Milwaukee Bucks,665966,16243
2002,Orlando Magic,605901,14778
2002,Golden State Warriors,634935,15486
2002,Boston Celtics,709049,17294
2002,Washington Wizards,827093,20173
2002,New York Knicks,779479,19012
2002,Memphis Grizzlies,611322,14910
2002,Los Angeles Clippers,706471,17231
2002,Atlanta Hawks,528655,12894
2002,Miami Heat,628242,15323
2002,Chicago Bulls,804309,19617
2002,Toronto Raptors,777507,18964
2002,Denver Nuggets,607813,14825
2002,Cleveland Cavaliers,471374,11497
2001,Sacramento Kings,709997,17317
2001,Los Angeles Lakers,778777,18995
2001,San Antonio Spurs,906390,22107
2001,Dallas Mavericks,802783,19580
2001,New Jersey Nets,564194,13761
2001,Minnesota Timberwolves,731673,17846
2001,Seattle SuperSonics,633516,15452
2001,Portland Trail Blazers,797821,19459
2001,Boston Celtics,659751,16091
2001,Detroit Pistons,760807,18556
2001,Philadelphia 76ers,842976,20560
2001,Orlando Magic,621121,15149
2001,Utah Jazz,766108,18686
2001,Charlotte Hornets,462738,11286
2001,Indiana Pacers,686537,16745
2001,Los Angeles Clippers,740185,18053
2001,Phoenix Suns,668939,16316
2001,Milwaukee Bucks,745305,18178
2001,Toronto Raptors,810160,19760
2001,Washington Wizards,847634,20674
2001,Miami Heat,655549,15989
2001,Cleveland Cavaliers,596115,14539
2001,New York Knicks,810283,19763
2001,Houston Rockets,481227,11737
2001,Atlanta Hawks,506110,12344
2001,Golden State Warriors,593182,14468
2001,Denver Nuggets,633846,15460
2001,Memphis Grizzlies,591030,14415
2001,Chicago Bulls,776311,18934
2000,San Antonio Spurs,913176,22273
2000,Sacramento Kings,709997,17317
