year,Tm,Attendance,Attend/G,Est. Payroll
2008,MIN,2302431,28425,56932766
2008,NYM,4042045,49902,137793376
2008,NYY,4298655,53070,212286789
2008,OAK,1665256,20559,47967126
2008,PHI,3422583,42254,97879880
2008,PIT,1609076,19865,48689783
2008,SDP,2427535,29970,73677616
2008,SEA,2329702,28762,117666482
2008,SFG,2863837,35356,76594500
2008,STL,3432917,42382,99624449
2008,TBR,1811986,22370,44970597
2008,TEX,1945677,24021,68037326
2008,TOR,2399786,29627,97793900
2008,WSN,2320400,29005,54961000
2007,ARI,2325249,28707,52067546
2007,ATL,2745207,33891,87290833
2007,BAL,2164822,26726,93174808
2007,BOS,2970755,36676,143026214
2007,CHC,3252462,40154,101670332
2007,CHW,2684395,33141,108671833
2007,CIN,2058593,25415,68524980
2007,CLE,2275912,28449,61673267
2007,COL,2376250,28979,54041000
2007,DET,3047133,37619,95180369
2007,FLA,1370511,16920,30507000
2007,HOU,3020405,37289,87759000
2007,KCR,1616867,19961,67691500
2007,LAA,3365632,41551,109251333
2007,LAD,3857036,47618,108454524
2007,MIL,2869144,35422,70986500
2007,MIN,2296383,28350,71439500
2007,NYM,3853955,47580,116181663
2007,NYY,4271083,52729,207039045
2007,OAK,1921844,23726,79366940
2007,PHI,3108325,38374,89428213
2007,PIT,1749142,21594,38537833
2007,SDP,2790074,34445,58110567
2007,SEA,2672223,32588,106460833
2007,SFG,3223215,39793,90219056
2007,STL,3552180,43854,90286823
2007,TBD,1387603,17131,24123500
2007,TEX,2353862,29060,68643675
2007,TOR,2360644,29144,81942800
2007,WSN,1943812,23998,36947500
2006,ARI,2091685,25823,59984226
2006,ATL,2550524,31488,90156876
2006,BAL,2153139,26582,72585582
2006,BOS,2930588,36180,120099824
2006,CHC,3123215,38558,94424499
2006,CHW,2957414,36511,102750667
2006,CIN,2134607,26353,60909519
2006,CLE,1997995,24667,56031500
2006,COL,2104362,25980,41233000
2006,DET,2595937,32049,82612866
2006,FLA,1164134,14372,14671500
2006,HOU,3022763,37318,100894435
2006,KCR,1372638,16946,47694000
2006,LAA,3406790,42059,103472000
2006,LAD,3758545,46402,98447187
2006,MIL,2335643,28835,57970333
2006,MIN,2285018,28210,63396006
2006,NYM,3379535,41723,101584963
2006,NYY,4248067,52445,194663079
2006,OAK,1976625,24403,64843079
2006,PHI,2701815,33356,88273333
2006,PIT,1861549,22982,46717750
2006,SDP,2659757,32837,69896141
2006,SEA,2481165,30632,87959833
2006,SFG,3130313,38646,90056419
2006,STL,3407104,42589,88891371
2006,TBD,1368950,16901,34917967
2006,TEX,2388757,29491,68228662
2006,TOR,2302212,28422,71365000
2006,WSN,2153056,26581,63143000
2005,ARI,2059424,25425,62629166
2005,ATL,2521167,31126,86457302
2005,BAL,2624740,32404,73914333
2005,BOS,2847888,35159,123505125
2005,CHC,3099992,38272,87032933
2005,CHW,2342833,28924,75178000
2005,CIN,1943067,23696,61892583
2005,CLE,2013763,24861,41502500
2005,COL,1914389,23634,47839000
2005,DET,2024431,24993,69092000
2005,FLA,1852608,22872,60408834
2005,HOU,2804760,34627,76779000
2005,KCR,1371181,16928,36881000
2005,LAA,3404686,42033,94867822
2005,LAD,3603646,44489,83039000
2005,MIL,2211023,27297,39934833
2005,MIN,2034243,25114,56186000
